ProductKey,AlternateKey,SubcategoryKey,SubcategoryName,ProductName,Color,ListPrice,Size,ProductLine,Class,Style,ModelName,Status
130,LN-5162,NULL,NULL,Lock Nut 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
131,LN-5400,NULL,NULL,Lock Nut 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
132,LN-5811,NULL,NULL,Lock Nut 20,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
133,LN-5818,NULL,NULL,Lock Nut 21,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
134,LN-6320,NULL,NULL,Lock Nut 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
135,LN-7161,NULL,NULL,Lock Nut 14,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
136,LN-7162,NULL,NULL,Lock Nut 15,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
137,LN-8320,NULL,NULL,Lock Nut 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
138,LN-9080,NULL,NULL,Lock Nut 19,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
139,LN-9161,NULL,NULL,Lock Nut 18,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
140,LR-2398,NULL,NULL,Lock Ring,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
141,LR-8520,NULL,NULL,Lower Head Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
142,LW-1000,NULL,NULL,Lock Washer 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
143,LW-1200,NULL,NULL,Lock Washer 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
144,LW-1201,NULL,NULL,Lock Washer 10,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
145,LW-1400,NULL,NULL,Lock Washer 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
146,LW-3400,NULL,NULL,Lock Washer 13,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
147,LW-3800,NULL,NULL,Lock Washer 8,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
148,LW-4000,NULL,NULL,Lock Washer 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
149,LW-5160,NULL,NULL,Lock Washer 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
150,LW-5800,NULL,NULL,Lock Washer 12,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
151,LW-6000,NULL,NULL,Lock Washer 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
152,LW-7160,NULL,NULL,Lock Washer 9,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
153,LW-8000,NULL,NULL,Lock Washer 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
154,LW-9160,NULL,NULL,Lock Washer 11,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
155,MA-7075,NULL,NULL,Metal Angle,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
156,MB-2024,NULL,NULL,Metal Bar 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
157,MB-6061,NULL,NULL,Metal Bar 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
158,MP-2066,NULL,NULL,Metal Plate 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
159,MP-2503,NULL,NULL,Metal Plate 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
160,MP-4960,NULL,NULL,Metal Plate 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
161,MS-0253,NULL,NULL,Metal Sheet 2,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
162,MS-1256,NULL,NULL,Metal Sheet 3,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
163,MS-1981,NULL,NULL,Metal Sheet 7,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
164,MS-2259,NULL,NULL,Metal Sheet 4,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
165,MS-2341,NULL,NULL,Metal Sheet 5,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
166,MS-2348,NULL,NULL,Metal Sheet 6,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
167,MS-6061,NULL,NULL,Metal Sheet 1,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
168,MT-1000,NULL,NULL,Metal Tread Plate,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
169,NI-4127,NULL,NULL,LL Nipple,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
170,NI-9522,NULL,NULL,HL Nipple,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
171,PA-187B,NULL,NULL,Paint - Black,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
172,PA-361R,NULL,NULL,Paint - Red,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
173,PA-529S,NULL,NULL,Paint - Silver,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
174,PA-632U,NULL,NULL,Paint - Blue,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
175,PA-823Y,NULL,NULL,Paint - Yellow,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
176,PB-6109,NULL,NULL,Pinch Bolt,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
177,RA-2345,NULL,NULL,Cup-Shaped Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
178,RA-7490,NULL,NULL,Cone-Shaped Race,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
179,RF-9198,NULL,NULL,Reflector,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
180,RM-M464,NULL,NULL,LL Mountain Rim,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
181,RM-M692,NULL,NULL,ML Mountain Rim,NA,NULL,NULL,NULL,M ,NULL,NULL,Current
182,RM-M823,NULL,NULL,HL Mountain Rim,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
183,RM-R436,NULL,NULL,LL Road Rim,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
184,RM-R600,NULL,NULL,ML Road Rim,NA,NULL,NULL,NULL,M ,NULL,NULL,Current
185,RM-R800,NULL,NULL,HL Road Rim,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
186,RM-T801,NULL,NULL,Touring Rim,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
187,SA-M198,NULL,NULL,LL Mountain Seat Assembly,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
188,SA-M237,NULL,NULL,ML Mountain Seat Assembly,NA,NULL,NULL,NULL,M ,NULL,NULL,Current
189,SA-M687,NULL,NULL,HL Mountain Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
190,SA-R127,NULL,NULL,LL Road Seat Assembly,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
191,SA-R430,NULL,NULL,ML Road Seat Assembly,NA,NULL,NULL,NULL,M ,NULL,NULL,Current
192,SA-R522,NULL,NULL,HL Road Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
193,SA-T467,NULL,NULL,LL Touring Seat Assembly,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
194,SA-T612,NULL,NULL,ML Touring Seat Assembly,NA,NULL,NULL,NULL,M ,NULL,NULL,Current
195,SA-T872,NULL,NULL,HL Touring Seat Assembly,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
196,SD-2342,NULL,NULL,LL Spindle/Axle,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
197,SD-9872,NULL,NULL,HL Spindle/Axle,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
198,SH-4562,NULL,NULL,LL Shell,NA,NULL,NULL,NULL,L ,NULL,NULL,Current
199,SH-9312,NULL,NULL,HL Shell,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
200,SK-9283,NULL,NULL,Spokes,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
201,SL-0931,NULL,NULL,Seat Lug,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
202,SM-9087,NULL,NULL,Stem,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
203,SP-2981,NULL,NULL,Seat Post,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
204,SR-2098,NULL,NULL,Steerer,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
205,SS-2985,NULL,NULL,Seat Stays,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
206,ST-9828,NULL,NULL,Seat Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
207,TO-2301,NULL,NULL,Top Tube,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
208,TP-0923,NULL,NULL,Tension Pulley,NA,NULL,NULL,NULL,NULL,NULL,NULL,Current
209,RC-0291,NULL,NULL,Rear Derailleur Cage,Silver,NULL,NULL,NULL,NULL,NULL,NULL,Current
210,FR-R92B-58,14,Road Frames,"HL Road Frame - Black, 58",Black,NULL,58,R ,H ,U ,HL Road Frame,Current
211,FR-R92R-58,14,Road Frames,"HL Road Frame - Red, 58",Red,NULL,58,R ,H ,U ,HL Road Frame,Current
212,HL-U509-R,31,Helmets,"Sport-100 Helmet, Red",Red,33.6442,NULL,S ,NULL,NULL,Sport-100,Outdate
213,HL-U509-R,31,Helmets,"Sport-100 Helmet, Red",Red,33.6442,NULL,S ,NULL,NULL,Sport-100,Outdate
214,HL-U509-R,31,Helmets,"Sport-100 Helmet, Red",Red,34.99,NULL,S ,NULL,NULL,Sport-100,Current
215,HL-U509,31,Helmets,"Sport-100 Helmet, Black",Black,33.6442,NULL,S ,NULL,NULL,Sport-100,Outdate
216,HL-U509,31,Helmets,"Sport-100 Helmet, Black",Black,33.6442,NULL,S ,NULL,NULL,Sport-100,Outdate
217,HL-U509,31,Helmets,"Sport-100 Helmet, Black",Black,34.99,NULL,S ,NULL,NULL,Sport-100,Current
218,SO-B909-M,23,Socks,"Mountain Bike Socks, M",White,9.5,M,M ,NULL,U ,Mountain Bike Socks,Outdate
219,SO-B909-L,23,Socks,"Mountain Bike Socks, L",White,9.5,L,M ,NULL,U ,Mountain Bike Socks,Outdate
220,HL-U509-B,31,Helmets,"Sport-100 Helmet, Blue",Blue,33.6442,NULL,S ,NULL,NULL,Sport-100,Outdate
221,HL-U509-B,31,Helmets,"Sport-100 Helmet, Blue",Blue,33.6442,NULL,S ,NULL,NULL,Sport-100,Outdate
222,HL-U509-B,31,Helmets,"Sport-100 Helmet, Blue",Blue,34.99,NULL,S ,NULL,NULL,Sport-100,Current
223,CA-1098,19,Caps,AWC Logo Cap,Multi,8.6442,NULL,S ,NULL,U ,Cycling Cap,Outdate
224,CA-1098,19,Caps,AWC Logo Cap,Multi,8.6442,NULL,S ,NULL,U ,Cycling Cap,Outdate
225,CA-1098,19,Caps,AWC Logo Cap,Multi,8.99,NULL,S ,NULL,U ,Cycling Cap,Current
226,LJ-0192-S,21,Jerseys,"Long-Sleeve Logo Jersey, S",Multi,48.0673,S,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
227,LJ-0192-S,21,Jerseys,"Long-Sleeve Logo Jersey, S",Multi,48.0673,S,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
228,LJ-0192-S,21,Jerseys,"Long-Sleeve Logo Jersey, S",Multi,49.99,S,S ,NULL,U ,Long-Sleeve Logo Jersey,Current
229,LJ-0192-M,21,Jerseys,"Long-Sleeve Logo Jersey, M",Multi,48.0673,M,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
230,LJ-0192-M,21,Jerseys,"Long-Sleeve Logo Jersey, M",Multi,48.0673,M,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
231,LJ-0192-M,21,Jerseys,"Long-Sleeve Logo Jersey, M",Multi,49.99,M,S ,NULL,U ,Long-Sleeve Logo Jersey,Current
232,LJ-0192-L,21,Jerseys,"Long-Sleeve Logo Jersey, L",Multi,48.0673,L,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
233,LJ-0192-L,21,Jerseys,"Long-Sleeve Logo Jersey, L",Multi,48.0673,L,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
234,LJ-0192-L,21,Jerseys,"Long-Sleeve Logo Jersey, L",Multi,49.99,L,S ,NULL,U ,Long-Sleeve Logo Jersey,Current
235,LJ-0192-X,21,Jerseys,"Long-Sleeve Logo Jersey, XL",Multi,48.0673,XL,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
236,LJ-0192-X,21,Jerseys,"Long-Sleeve Logo Jersey, XL",Multi,48.0673,XL,S ,NULL,U ,Long-Sleeve Logo Jersey,Outdate
237,LJ-0192-X,21,Jerseys,"Long-Sleeve Logo Jersey, XL",Multi,49.99,XL,S ,NULL,U ,Long-Sleeve Logo Jersey,Current
238,FR-R92R-62,14,Road Frames,"HL Road Frame - Red, 62",Red,1263.4598,62,R ,H ,U ,HL Road Frame,Outdate
239,FR-R92R-62,14,Road Frames,"HL Road Frame - Red, 62",Red,1301.3636,62,R ,H ,U ,HL Road Frame,Outdate
